,Train-R2,Test-R2,Train-MAE,Test-MAE,Train-RMSE,Test-RMSE
LinearRegression,0.3493089400769943,0.33728902773880953,12.101718446942506,12.372504315480263,16.617764862583886,16.944354194306552
Ridge,0.3493091151799851,0.33728891205416334,12.101776563963126,12.372562969826403,16.617762626637596,16.944355673232973
Lasso,0.28484160606354736,0.27200573210759604,13.733629483818767,14.019915784488015,17.421530668718106,17.75934403159438
ElasticNet,0.29840909908747826,0.2865880036549642,13.541363366516213,13.823182544090344,17.25548472344168,17.58057780309474
DecisionTree,0.3704372095055185,0.34822211160916283,11.801027031492946,12.124480175254092,16.345744847974238,16.804003061294257
