,Train-R2,Test-R2,Train-MAE,Test-MAE,Train-RMSE,Test-RMSE
LinearRegression,0.7035028145515936,0.45701012707648736,7.980936379059963,10.922448629066304,11.21748447496418,15.337649376546057
Ridge,0.7035035447825192,0.457008677581364,7.980938846691354,10.922563108965882,11.217470661411276,15.33766984822909
Lasso,0.6413592187610111,0.39216560091732566,9.142132378516822,12.171994125637791,12.337155125967609,16.22764796417415
ElasticNet,0.6600252757363678,0.4076476480578285,8.803525916491152,11.918459707445164,12.011811401834896,16.019649107343106
DecisionTree,0.6798292324995625,0.4062770190380913,8.239837268898842,11.522913042039239,11.656710967927767,16.038172127569755
