,Train-R2,Test-R2,Train-MAE,Test-MAE,Train-RMSE,Test-RMSE
LinearRegression,0.70972591514271,0.47536395026073497,7.927839816408284,10.753419343387248,11.099139806201544,15.076203993570207
Ridge,0.7097271793241702,0.47536284678757235,7.927830553550466,10.753461427060826,11.099115637075233,15.076219848540296
Lasso,0.6630764238930049,0.4195493696461038,8.868376284835126,11.879177981901536,11.957789125581964,15.857896686369495
ElasticNet,0.6795315666967825,0.43426424339224856,8.57008634515152,11.637978252157579,11.662128386501479,15.65560137937163
DecisionTree,0.6820161336141815,0.42328167755067414,8.31649250983011,11.479769557227863,11.616832633452608,15.806831186721732
