,Train-R2,Test-R2,Train-MAE,Test-MAE,Train-RMSE,Test-RMSE
LinearRegression,0.713529835762859,0.4691388233079463,7.86778638574273,10.737297675644426,11.026175179903209,15.165384409908215
Ridge,0.713530256509401,0.46913837125017777,7.86779040418804,10.73732491187455,11.026167082678155,15.16539086699029
Lasso,0.6682508413472121,0.4151526975284864,8.85780226899314,11.909004115688138,11.86561095211098,15.917841871633279
ElasticNet,0.6860588126809575,0.43179529153600205,8.540323306583376,11.632722931969912,11.54275128272602,15.689725832069398
DecisionTree,0.7437660017528943,0.469809154661618,7.341904851787011,10.523064806733393,10.42806107916135,15.155806535036335
