,Train-R2,Test-R2,Train-MAE,Test-MAE,Train-RMSE,Test-RMSE
LinearRegression,0.3576988232663164,0.34392336881729624,11.826546162442687,12.12361061518308,16.510284175739013,16.85932664070859
Ridge,0.35769814340213557,0.34391825681820754,11.828145714525018,12.125062840762965,16.510292913655324,16.859392322589674
Lasso,0.35768754325775487,0.3438626793530358,11.831694649977482,12.128891131188782,16.5104291508192,16.86010639706024
ElasticNet,0.21093776209512893,0.2042829946331297,14.156373601623324,14.400594716977063,18.29956724646827,18.567022354139578
DecisionTree,0.23637994297252873,0.2060646628250168,13.884967854994938,14.301109669475444,18.002128320213533,18.546224249432242
